"","weight","stratum","psu","qn8"
"183",1.045,103,10530,1
"184",1.045,103,10530,NA
"185",0.8901,103,10530,NA
"186",0.8901,103,10530,NA
"187",0.6431,103,10530,1
"188",1.4724,103,10530,1
"189",1.4724,103,10530,NA
"190",0.8901,103,10530,NA
"191",1.0639,103,10530,NA
"192",0.8901,103,10530,NA
"193",0.8901,103,10530,NA
"194",0.8901,103,10530,NA
"195",0.6431,103,10530,NA
"196",0.6431,103,10530,NA
"197",1.4724,103,10530,1
"198",1.0639,103,10530,NA
"199",0.8901,103,10530,NA
"200",0.6431,103,10530,NA
"201",0.631,103,10530,NA
"202",0.9282,103,10530,1
"203",0.8281,103,10530,1
"204",0.9282,103,10530,1
"205",0.9282,103,10530,NA
"206",0.8281,103,10530,NA
"207",0.631,103,10530,NA
"208",0.8281,103,10530,1
"209",0.8281,103,10530,NA
"210",0.9282,103,10530,1
"211",0.8281,103,10530,NA
"212",0.8281,103,10530,NA
"213",0.8281,103,10530,1
"214",0.9282,103,10530,1
"215",0.631,103,10530,NA
"216",0.8281,103,10530,NA
"217",0.7073,103,10530,1
"218",0.6869,103,10530,NA
"219",0.6869,103,10530,NA
"220",0.6869,103,10530,NA
"221",0.6869,103,10530,1
"222",0.6869,103,10530,1
"223",1.0208,103,10530,1
"224",0.1867,103,10530,1
"225",0.6815,103,10530,2
"226",0.6815,103,10530,NA
"227",0.7073,103,10530,1
"228",0.3533,103,10530,1
"229",0.9282,103,10530,1
"230",0.8281,103,10530,NA
"231",0.8281,103,10530,1
"232",0.9282,103,10530,NA
"233",0.7073,103,10530,NA
"234",0.8281,103,10530,1
"235",0.487,103,10530,NA
"236",0.6815,103,10530,NA
"237",0.6815,103,10530,NA
"238",1.0208,103,10530,1
"239",1.0208,103,10530,1
"240",0.6815,103,10530,1
"241",0.6815,103,10530,1
"242",0.6815,103,10530,NA
"243",0.6815,103,10530,NA
"244",0.6815,103,10530,1
"245",1.0208,103,10530,NA
"246",1.0208,103,10530,NA
"247",0.5733,103,10530,NA
"248",0.6869,103,10530,1
"249",0.6869,103,10530,NA
"250",0.4823,103,10530,1
"251",0.5733,103,10530,1
"252",0.5733,103,10530,NA
"253",0.5733,103,10530,1
"254",0.4823,103,10530,1
"255",0.6815,103,10530,1
"256",0.6815,103,10530,NA
"257",0.6815,103,10530,NA
"258",0.487,103,10530,NA
"259",0.6815,103,10530,1
"260",0.5733,103,10530,2
"261",0.7294,103,10530,2
"262",0.4026,103,10530,1
"263",0.6869,103,10530,NA
"264",0.9282,103,10530,1
"265",0.9282,103,10530,1
"266",0.9282,103,10530,1
"267",0.9114,103,10530,NA
"268",0.6869,103,10530,NA
"269",0.6869,103,10530,NA
"270",0.9114,103,10530,NA
"271",0.6636,103,10530,1
"272",0.6636,103,10530,NA
"273",0.9114,103,10530,NA
"274",0.6636,103,10530,1
"275",0.6636,103,10530,1
"276",0.6636,103,10530,1
"277",0.6585,103,10530,1
"278",0.358,103,10530,2
"279",0.6636,103,10530,1
"280",0.6636,103,10530,1
"281",0.4794,103,10530,NA
"282",1.0208,103,10530,1
"283",1.0208,103,10530,1
"284",0.374,103,10530,1
"285",0.6815,103,10530,NA
"286",1.0208,103,10530,1
"287",0.6815,103,10530,NA
"288",0.6636,103,10530,1
"289",0.4794,103,10530,NA
"290",0.4794,103,10530,NA
"291",0.6636,103,10530,1
"292",0.6636,103,10530,1
"293",0.4794,103,10530,NA
"294",0.9114,103,10530,1
"295",0.9114,103,10530,1
"296",0.9114,103,10530,1
"297",0.4794,103,10530,1
"298",0.2458,103,10530,1
"299",0.6636,103,10530,1
"300",0.3503,103,10530,1
"301",0.5733,103,10530,1
"302",0.5733,103,10530,1
"303",0.5733,103,10530,1
"304",0.2147,103,10530,1
"305",0.5733,103,10530,1
"306",0.2572,103,10530,1
"307",0.6869,103,10530,NA
"308",0.6869,103,10530,NA
"309",0.5733,103,10530,1
"310",0.6869,103,10530,1
"311",0.5733,103,10530,1
"312",0.5733,103,10530,1
"313",0.5733,103,10530,1
"314",0.9114,103,10530,NA
"315",0.9114,103,10530,1
"316",0.9114,103,10530,NA
"317",0.9114,103,10530,NA
"318",0.6636,103,10530,1
"319",0.6869,103,10530,1
"320",0.6869,103,10530,1
"321",0.5733,103,10530,NA
"322",0.7294,103,10530,1
"323",0.5601,103,10530,1
"324",0.4794,103,10530,NA
"325",0.9114,103,10530,NA
"326",0.4794,103,10530,NA
"327",0.9114,103,10530,NA
"328",0.6636,103,10530,1
"329",0.6585,103,10530,NA
"330",0.9114,103,10530,1
"331",0.6636,103,10530,NA
"332",0.4026,103,10530,1
"333",0.5733,103,10530,1
"334",0.4823,103,10530,NA
"335",0.6869,103,10530,1
"336",0.5733,103,10530,NA
"337",0.6869,103,10530,NA
"338",0.4026,103,10530,1
"339",0.5733,103,10530,1
"340",0.6815,103,10530,1
"341",1.0208,103,10530,1
"342",1.0208,103,10530,1
"343",1.0208,103,10530,1
"344",0.487,103,10530,1
"345",0.487,103,10530,NA
"346",0.8994,103,10530,NA
"347",0.8994,103,10530,NA
"348",0.8994,103,10530,1
"349",0.8994,103,10530,1
"350",1.1804,103,10530,NA
"351",1.4954,103,10530,NA
"352",1.186,103,10530,1
"353",1.186,103,10530,NA
"354",0.7073,103,10530,1
"355",1.3766,103,10530,1
"356",1.1804,103,10530,1
"357",1.9626,103,10530,NA
"358",1.1804,103,10530,1
"359",1.4954,103,10530,NA
"360",1.4954,103,10530,NA
"361",0.8994,103,10530,NA
"362",0.8994,103,10530,1
"363",1.1804,103,10530,1
"364",0.8994,103,10530,1
"365",1.1804,103,10530,1
"366",1.6415,103,10530,1
"367",0.9468,103,10530,1
"368",1.0073,103,10530,1
"369",1.3766,103,10530,NA
"370",1.0073,103,10530,1
"371",1.3766,103,10530,1
"372",1.3766,103,10530,NA
"373",0.9666,103,10530,NA
"374",1.3766,103,10530,1
"375",0.7073,103,10530,1
"376",0.7073,103,10530,1
"377",0.9666,103,10530,NA
"378",0.9666,103,10530,NA
"379",0.7073,103,10530,1
"380",0.7073,103,10530,1
"381",0.9666,103,10530,1
"382",0.7073,103,10530,1
"383",1.3766,103,10530,1
"384",0.9666,103,10530,NA
"385",0.7073,103,10530,1
"386",1.3766,103,10530,1
"387",0.7073,103,10530,1
"388",1.0073,103,10530,1
"389",1.0073,103,10530,NA
"390",1.5887,103,10530,1
"391",1.5887,103,10530,NA
"392",1.6595,103,10530,NA
"393",1.186,103,10530,NA
"394",0.9468,103,10530,1
"395",1.6415,103,10530,NA
"396",1.3104,103,10530,1
"397",1.3104,103,10530,1
"398",0.9468,103,10530,2
"399",0.9468,103,10530,1
"400",0.9468,103,10530,1
"401",1.3104,103,10530,1
"402",1.186,103,10530,NA
"403",1.6415,103,10530,1
"404",1.186,103,10530,NA
"405",0.9468,103,10530,1
"406",1.186,103,10530,1
"407",1.6595,103,10530,1
"408",1.1857,103,10530,1
"409",1.5887,103,10530,1
"410",1.1857,103,10530,1
"411",1.1857,103,10530,1
"412",1.1857,103,10530,NA
"413",1.1857,103,10530,NA
"414",2.2235,103,10530,NA
"415",1.5887,103,10530,1
"416",1.6595,103,10530,1
"417",1.1857,103,10530,1
"418",1.5887,103,10530,NA
"419",1.5887,103,10530,NA
"420",1.0073,103,10530,1
"421",0.7073,103,10530,1
"422",1.0073,103,10530,1
"423",1.4954,103,10530,1
"424",1.4954,103,10530,1
"425",0.8994,103,10530,NA
"426",0.8994,103,10530,1
"427",0.6719,103,10530,1
"428",1.1857,103,10530,1
"429",1.1857,103,10530,1
"430",0.6735,212,40130,1
"431",0.5031,212,40130,1
"432",0.8838,212,40130,NA
"433",0.7914,212,40130,NA
"434",0.7914,212,40130,1
"435",0.7819,212,40130,NA
"436",1.7818,212,40130,2
"437",0.9398,212,40130,NA
"438",0.9398,212,40130,NA
"439",0.6735,212,40130,NA
"440",0.5031,212,40130,NA
"441",0.5031,212,40130,1
"442",0.8838,212,40130,NA
"443",0.7607,212,40130,1
"444",0.4493,212,40130,NA
"445",1.0143,212,40130,NA
"446",1.0143,212,40130,NA
"447",0.7914,212,40130,NA
"448",0.7914,212,40130,1
"449",1.4099,212,40130,2
"450",0.9858,212,40130,1
"451",0.9398,212,40130,NA
"452",0.9858,212,40130,NA
"453",0.6735,212,40130,2
"454",0.5291,212,40130,2
"455",1.4668,212,40130,2
"456",0.8822,212,40130,NA
"457",0.7914,212,40130,NA
"458",0.7607,212,40130,1
"459",0.5031,212,40130,1
"460",1.0143,212,40130,NA
"461",0.4493,212,40130,NA
"462",0.4493,212,40130,NA
"463",0.9858,212,40130,1
"464",0.9858,212,40130,1
"465",0.9398,212,40130,1
"466",0.7914,212,40130,NA
"467",0.9858,212,40130,NA
"468",0.9858,212,40130,NA
"469",0.604,212,40130,NA
"470",0.9398,212,40130,NA
"471",0.9398,212,40130,1
"472",0.5851,212,40130,2
"473",0.4493,212,40130,1
"474",0.5851,212,40130,2
"475",1.8442,212,40130,NA
"476",0.4493,212,40130,1
"477",0.4493,212,40130,NA
"478",1.0143,212,40130,2
"479",1.0143,212,40130,1
"480",1.5662,212,40130,NA
"481",0.7607,212,40130,1
"482",0.7607,212,40130,NA
"483",1.0598,212,40130,2
"484",0.7607,212,40130,1
"485",1.5662,212,40130,1
"486",0.9858,212,40130,2
"487",0.4493,212,40130,2
"488",0.4493,212,40130,1
"489",0.4493,212,40130,NA
"490",0.4493,212,40130,2
"491",0.5851,212,40130,2
"492",0.4493,212,40130,NA
"493",0.4493,212,40130,NA
"494",0.4493,212,40130,NA
"495",0.7914,212,40130,1
"496",0.4493,212,40130,1
"497",0.4493,212,40130,NA
"498",0.4493,212,40130,NA
"499",0.7607,212,40130,1
"500",0.7607,212,40130,NA
"501",0.7607,212,40130,NA
"502",0.7914,212,40130,NA
"503",1.0143,212,40130,1
"504",0.5031,212,40130,NA
"505",0.5031,212,40130,1
"506",1.0143,212,40130,1
"507",0.5851,212,40130,NA
"508",0.5031,212,40130,NA
"509",1.0143,212,40130,NA
"510",1.0143,212,40130,NA
"511",0.4493,212,40130,1
"512",1.5662,212,40130,1
"513",0.4493,212,40130,NA
"514",1.5662,212,40130,NA
"515",1.5662,212,40130,1
"516",0.4493,212,40130,1
"517",0.8838,212,40130,1
"518",0.5031,212,40130,1
"519",0.4493,212,40130,NA
"520",0.5031,212,40130,2
"521",0.5382,212,40130,NA
"522",0.5031,212,40130,NA
"523",0.4493,212,40130,2
"524",0.4493,212,40130,NA
"525",0.7914,212,40130,NA
"526",0.4493,212,40130,NA
"527",0.5031,212,40130,1
"528",0.7914,212,40130,2
"529",0.6783,212,40130,1
"530",0.5031,212,40130,1
"531",0.5031,212,40130,1
"532",1.5662,212,40130,1
"533",0.4493,212,40130,NA
"534",0.4493,212,40130,1
"535",1.5662,212,40130,1
"536",0.9858,212,40130,NA
"537",0.9398,212,40130,NA
"538",0.9858,212,40130,2
"539",1.08,212,40130,NA
"540",1.1327,212,40130,2
"541",1.7818,212,40130,2
"542",1.08,212,40130,NA
"543",0.9858,212,40130,NA
"544",1.538,212,40130,NA
"545",1.538,212,40130,NA
"546",0.9858,212,40130,NA
"547",1.1327,212,40130,NA
"548",0.9398,212,40130,2
"549",0.9398,212,40130,2
"550",0.9398,212,40130,2
"551",0.9858,212,40130,1
"552",1.538,212,40130,NA
"553",1.1327,212,40130,2
"554",0.9398,212,40130,NA
"555",1.5662,212,40130,1
"556",1.4099,212,40130,NA
"557",0.5031,212,40130,NA
"558",0.6735,212,40130,1
"559",0.9858,212,40130,NA
"560",1.1327,212,40130,NA
"561",2.5297,212,60130,NA
"562",4.8735,212,60130,NA
"563",2.8033,212,60130,NA
"564",2.7742,212,60130,NA
"565",2.7742,212,60130,1
"566",2.7742,212,60130,1
"567",2.7742,212,60130,1
"568",2.6207,212,60130,1
"569",2.7742,212,60130,1
"570",2.7742,212,60130,1
"571",4.6039,212,60130,NA
"572",2.8033,212,60130,1
"573",2.1188,212,60130,NA
"574",2.7742,212,60130,NA
"575",2.8033,212,60130,NA
"576",2.4933,212,60130,NA
"577",2.6207,212,60130,1
"578",2.6207,212,60130,NA
"579",3.7135,212,60130,NA
"580",2.6207,212,60130,1
"581",2.7742,212,60130,1
"582",2.7742,212,60130,2
"583",2.6207,212,60130,NA
"584",2.6207,212,60130,1
"585",2.7742,212,60130,1
"586",2.6207,212,60130,NA
"587",2.7742,212,60130,NA
"588",2.9675,212,60130,NA
"589",2.7742,212,60130,1
"590",2.9625,212,60130,1
"591",4.8479,212,60130,NA
"592",4.2755,212,60130,1
"593",2.5297,212,60130,NA
"594",2.6127,212,60130,1
"595",4.2755,212,60130,1
"596",2.6127,212,60130,NA
"597",2.231,212,60130,2
"598",3.0022,212,60130,NA
"599",2.231,212,60130,2
"600",2.231,212,60130,NA
"601",2.5297,212,60130,1
"602",2.5297,212,60130,1
"603",2.5297,212,60130,1
"604",2.231,212,60130,1
"605",2.6127,212,60130,1
"606",4.2755,212,60130,1
"607",2.5297,212,60130,NA
"608",2.231,212,60130,1
"609",4.2755,212,60130,NA
"610",2.9625,212,60130,NA
"611",2.5297,212,60130,2
"612",4.8479,212,60130,NA
"613",4.2755,212,60130,NA
"614",2.9625,212,60130,1
"615",2.231,212,60130,1
"616",4.2755,212,60130,NA
"617",4.2755,212,60130,1
"618",2.9675,212,60130,1
"619",3.769,212,60130,1
"620",3.769,212,60130,1
"621",5.0115,212,60130,1
"622",5.0115,212,60130,NA
"623",2.8882,212,60130,NA
"624",4.4381,212,60130,1
"625",3.769,212,60130,1
"626",2.9625,212,60130,NA
"627",4.4381,212,60130,1
"628",3.4009,212,60130,NA
"629",2.8882,212,60130,1
"630",2.8882,212,60130,1
"631",5.0115,212,60130,1
"632",3.769,212,60130,1
"633",5.0115,212,60130,NA
"634",3.5081,212,60130,NA
"635",3.4009,212,60130,NA
"636",3.4009,212,60130,NA
"637",5.0115,212,60130,NA
"638",2.8882,212,60130,NA
"639",2.8882,212,60130,2
"640",2.8882,212,60130,1
"641",2.231,212,60130,NA
"642",2.6127,212,60130,1
"643",2.9625,212,60130,NA
"644",3.769,212,60130,NA
"645",1.442,212,60130,1
"646",3.4009,212,60130,1
"647",3.769,212,60130,NA
"648",2.4465,212,60130,NA
"649",2.1188,212,60130,NA
"650",2.1498,212,60130,1
"651",2.879,212,60130,NA
"652",2.1498,212,60130,NA
"653",1.8269,212,60130,1
"654",1.8269,212,60130,NA
"655",1.8269,212,60130,NA
"656",3.9846,212,60130,1
"657",2.1498,212,60130,NA
"658",2.1188,212,60130,1
"659",2.4933,212,60130,1
"660",3.386,212,60130,1
"661",1.8269,212,60130,1
"662",2.1498,212,60130,1
"663",2.1498,212,60130,NA
"664",2.1188,212,60130,NA
"665",2.4933,212,60130,NA
"666",3.386,212,60130,1
"667",2.1188,212,60130,1
"668",2.1498,212,60130,NA
"669",2.1498,212,60130,NA
"670",3.9846,212,60130,NA
"671",2.879,212,60130,NA
"672",1.2541,212,60130,1
"673",3.386,212,60130,1
"674",1.8269,212,60130,1
"675",0.6944,212,60130,1
"676",0.9344,212,60130,1
"677",0.8131,212,60130,2
"678",1.2912,212,60130,1
"679",1.2912,212,60130,NA
"680",0.9364,212,60130,2
"681",1.2542,212,60130,NA
"682",1.1263,212,60130,NA
"683",1.4094,212,60130,NA
"684",1.4094,212,60130,NA
"685",1.4094,212,60130,2
"686",1.2542,212,60130,NA
"687",1.1263,212,60130,NA
"688",1.0529,212,60130,1
"689",1.2542,212,60130,1
"690",1.0022,212,60130,NA
"691",1.2542,212,60130,NA
"692",1.2912,212,60130,1
"693",0.937,212,60130,NA
"694",1.0022,212,60130,2
"695",1.4094,212,60130,2
"696",1.2542,212,60130,2
"697",1.076,212,60130,NA
"698",1.4094,212,60130,1
"699",1.4094,212,60130,2
"700",1.2542,212,60130,2
"701",1.4094,212,60130,2
"702",0.9999,212,60130,NA
"703",1.1545,212,60130,1
"704",0.9959,212,60130,NA
"705",0.9959,212,60130,1
"706",1.1545,212,60130,NA
"707",1.1545,212,60130,NA
"708",0.8625,212,60130,1
"709",0.9959,212,60130,1
"710",0.9959,212,60130,1
"711",0.9959,212,60130,NA
"712",0.8625,212,60130,2
"713",0.9999,212,60130,NA
"714",1.1545,212,60130,NA
"715",1.0022,212,60130,NA
"716",1.4094,212,60130,NA
"717",1.2542,212,60130,NA
"718",0.6266,212,60130,1
"719",1.646,212,60130,2
"720",0.6944,212,60130,1
"721",0.8625,212,60130,2
"722",0.8625,212,60130,1
"723",1.1545,212,60130,NA
"724",0.9999,212,60130,NA
"725",1.1545,212,60130,1
"726",0.7437,212,60130,1
"727",1.1545,212,60130,2
"728",0.7437,212,60130,NA
"729",1.1545,212,60130,NA
"730",1.1545,212,60130,1
"731",0.9959,212,60130,2
"732",0.9959,212,60130,1
"733",0.9959,212,60130,NA
"734",1.1545,212,60130,NA
"735",1.1545,212,60130,2
"736",0.9959,212,60130,2
"737",0.8625,212,60130,2
"738",0.9344,212,60130,1
"739",0.7996,212,60130,1
"740",0.5738,212,60130,NA
"741",0.9344,212,60130,2
"742",1.076,212,60130,2
"743",0.8131,212,60130,1
"744",0.9344,212,60130,2
"745",1.076,212,60130,1
"746",0.9344,212,60130,NA
"747",1.4745,212,60130,1
"748",0.5653,212,60130,1
"749",0.6944,212,60130,2
"750",0.6944,212,60130,1
"751",1.076,212,60130,2
"752",1.076,212,60130,2
"753",1.1545,212,60130,2
"754",1.076,212,60130,NA
"755",0.9344,212,60130,2
"756",0.9344,212,60130,NA
"757",0.9344,212,60130,2
"758",1.076,212,60130,2
"759",0.9959,212,60130,1
"760",1.076,212,60130,1
"761",0.9344,212,60130,1
"762",1.1676,212,60130,1
"763",1.4745,212,60130,1
"764",1.2912,212,60130,1
"765",0.9344,212,60130,NA
"766",1.076,212,60130,NA
"767",1.2912,212,60130,1
"768",1.2912,212,60130,2
"769",1.4745,212,60130,1
"770",1.4745,212,60130,2
"771",0.9916,212,60130,2
"772",0.9344,212,60130,1
"773",0.9364,212,60130,NA
"774",0.9364,212,60130,NA
"775",0.9344,212,60130,2
"776",1.076,212,60130,NA
"777",0.9344,212,60130,2
"778",1.3333,212,60130,2
"779",1.4745,212,60130,1
"780",1.1323,212,60130,1
"781",1.4745,212,60130,NA
"782",1.4094,212,60130,1
"783",1.0022,212,60130,NA
"784",1.2542,212,60130,NA
"785",1.2542,212,60130,1
"786",1.4094,212,60130,1
"787",1.1676,212,60130,1
"788",0.9916,212,60130,1
"789",0.495,212,60130,1
"790",1.4745,212,60130,2
"791",1.2912,212,60130,2
"792",1.4745,212,60130,2
"793",1.4745,212,60130,NA
"794",1.2912,212,60130,2
"795",1.2912,212,60130,1
"796",1.2912,212,60130,1
"797",0.7805,211,60170,2
"798",0.7805,211,60170,NA
"799",1.5288,211,60170,2
"800",1.5288,211,60170,2
"801",0.58,211,60170,NA
"802",1.5288,211,60170,2
"803",0.7805,211,60170,2
"804",0.7805,211,60170,NA
"805",0.7805,211,60170,2
"806",0.58,211,60170,1
"807",1.5288,211,60170,NA
"808",0.7805,211,60170,NA
"809",1.5288,211,60170,1
"810",0.7805,211,60170,1
"811",0.7805,211,60170,1
"812",1.5288,211,60170,1
"813",0.6792,211,60170,1
"814",0.7805,211,60170,2
"815",1.5288,211,60170,2
"816",0.7805,211,60170,2
"817",0.9353,211,60170,2
"818",1.299,211,60170,2
"819",1.299,211,60170,1
"820",0.9353,211,60170,1
"821",1.299,211,60170,NA
"822",0.4981,211,60170,NA
"823",0.7183,211,60170,NA
"824",0.9353,211,60170,1
"825",0.3586,211,60170,2
"826",0.3586,211,60170,1
"827",0.9353,211,60170,NA
"828",1.299,211,60170,2
"829",0.9353,211,60170,1
"830",0.9353,211,60170,1
"831",0.9353,211,60170,1
"832",1.299,211,60170,2
"833",1.299,211,60170,1
"834",0.9353,211,60170,1
"835",0.7183,211,60170,1
"836",0.9353,211,60170,NA
"837",1.5288,211,60170,2
"838",0.9353,211,60170,NA
"839",0.9353,211,60170,1
"840",1.299,211,60170,2
"841",0.7805,211,60170,1
"842",0.7805,211,60170,2
"843",0.8011,211,60170,1
"844",1.0723,211,60170,NA
"845",1.0723,211,60170,1
"846",0.8011,211,60170,2
"847",1.0571,211,60170,1
"848",1.299,211,60170,NA
"849",1.299,211,60170,1
"850",1.299,211,60170,2
"851",0.9353,211,60170,2
"852",0.9976,211,60170,1
"853",0.9353,211,60170,1
"854",0.9353,211,60170,1
"855",1.5288,211,60170,NA
"856",1.5288,211,60170,2
"857",1.0571,211,60170,1
"858",0.7805,211,60170,NA
"859",1.3304,211,60170,2
"860",0.8011,211,60170,NA
"861",1.7608,211,60170,NA
"862",0.8011,211,60170,1
"863",1.0571,211,60170,2
"864",2.3569,211,60170,1
"865",1.0723,211,60170,1
"866",1.7608,211,60170,NA
"867",1.7608,211,60170,NA
"868",1.715,211,60170,2
"869",1.0571,211,60170,1
"870",1.0571,211,60170,NA
"871",1.0723,211,60170,NA
"872",1.0723,211,60170,2
"873",0.8011,211,60170,NA
"874",1.0723,211,60170,1
"875",2.3569,211,60170,NA
"876",1.0723,211,60170,2
"877",2.3569,211,60170,1
"878",1.0723,211,60170,1
"879",2.3569,211,60170,NA
"880",1.0723,211,60170,1
"881",1.0723,211,60170,1
"882",1.0723,211,60170,1
"883",1.0571,211,60170,1
"884",2.3569,211,60170,1
"885",1.715,211,60170,1
"886",1.715,211,60170,1
"887",0.7894,211,60170,1
"888",1.0571,211,60170,1
"889",1.0571,211,60170,2
"890",1.0571,211,60170,2
"891",1.0571,211,60170,2
"892",0.7894,211,60170,NA
"893",1.4853,211,60170,2
"894",1.0571,211,60170,NA
"895",0.7894,211,60170,1
"896",1.715,211,60170,1
"897",1.2806,211,60170,1
"898",1.0571,211,60170,2
"899",1.0571,211,60170,1
"900",1.715,211,60170,2
"901",1.715,211,60170,1
"902",1.715,211,60170,1
"903",1.715,211,60170,1
"904",1.0571,211,60170,2
"905",0.1799,203,60190,NA
"906",0.2242,203,60190,NA
"907",0.1722,203,60190,1
"908",0.1528,203,60190,NA
"909",0.1528,203,60190,1
"910",0.1528,203,60190,1
"911",0.1528,203,60190,1
"912",0.1528,203,60190,NA
"913",0.2027,203,60190,1
"914",0.1354,203,60190,NA
