"","SERNUM","CTBAND","ADULTH","DEPCHLDH","GROSS2","HHINC","PSU","TENURE"
"67",213,3,1,0,792,64,15,4
"68",3583,6,2,0,489,65,244,1
"69",2103,1,1,0,632,66,145,2
"70",2797,3,1,0,348,66,191,2
"71",3572,1,1,1,313,66,243,2
"72",4145,1,1,0,413,66,284,2
"73",4423,1,1,0,378,66,301,2
"74",245,2,1,0,398,68,17,1
"75",2176,1,1,0,596,68,151,2
"76",87,1,1,0,530,69,6,4
"77",475,2,1,0,361,69,34,2
"78",1605,1,1,0,745,70,109,2
"79",1912,4,4,1,294,70,130,4
"80",3201,1,1,0,380,70,219,2
"81",4391,4,1,0,364,70,300,1
"82",4544,1,1,0,364,70,310,4
"83",329,2,1,0,622,71,23,1
"84",946,1,1,0,905,71,66,3
"85",2223,4,1,0,361,71,154,1
"86",3710,3,1,0,493,71,253,3
"87",3610,3,1,0,348,72,246,1
"88",2338,6,2,0,543,73,161,1
"89",3576,9,1,0,316,73,244,4
"90",1646,2,1,0,315,74,112,2
"91",1982,4,1,2,403,74,135,4
"92",58,2,1,0,496,75,4,1
"93",222,1,1,0,646,75,16,1
"94",208,2,1,0,712,76,15,1
"95",2157,2,1,0,757,76,150,1
"96",3926,2,1,0,384,77,269,2
"97",4542,1,1,0,839,77,310,3
"98",970,2,2,0,527,78,68,1
"99",2041,1,2,0,438,78,140,2
"100",2229,1,1,0,556,78,155,2
"101",4641,1,1,0,742,78,317,4
"102",2199,3,1,0,561,79,153,2
"103",1095,1,1,0,573,80,76,3
"104",1100,2,1,0,923,80,76,3
"105",4555,2,1,0,431,80,311,4
"106",4379,3,1,0,345,81,299,1
"107",4469,3,1,0,342,81,304,2
"108",833,1,1,0,685,82,59,1
"109",327,2,1,0,647,83,23,1
"110",460,1,1,0,374,83,33,1
"111",852,6,2,0,485,83,60,1
"112",2898,3,1,0,338,83,198,1
"113",3923,5,1,0,456,83,268,1
"114",1662,5,1,0,512,84,113,1
"115",2690,2,1,0,326,84,183,2
"116",214,2,1,0,427,85,15,1
"117",1665,2,1,0,484,85,113,1
"118",2200,2,1,0,636,85,153,2
"119",3956,1,1,0,399,85,271,2
"120",4217,2,1,0,423,85,288,2
"121",1653,1,1,0,641,86,112,3
"122",1772,3,1,0,369,86,120,1
"123",2251,4,1,0,367,86,156,4
"124",3655,2,1,0,520,86,249,1
"125",3928,9,1,0,733,86,269,2
"126",43,1,1,0,426,87,3,4
"127",1102,1,1,0,792,87,76,3
"128",2624,1,1,0,448,87,179,1
"129",3812,5,1,0,642,87,261,1
"130",4038,5,1,0,517,87,276,1
"131",54,1,1,0,566,88,4,2
"132",1875,2,1,0,444,88,127,1
"133",1360,2,2,0,459,89,94,1
"134",3210,1,1,0,337,89,220,3
"135",3379,1,2,0,440,89,230,2
"136",155,3,1,0,405,90,11,1
"137",1056,6,1,0,570,90,73,1
"138",1303,2,1,0,554,90,90,2
"139",1806,2,1,0,481,90,123,1
"140",1831,3,1,0,553,90,124,2
"141",2483,1,1,0,515,90,170,1
"142",4627,1,1,0,625,90,316,3
"143",359,1,1,0,749,91,25,3
"144",1290,2,1,0,416,91,89,3
"145",2336,1,1,0,488,91,161,2
"146",2364,1,1,0,398,91,163,3
"147",2629,3,1,0,605,91,180,2
"148",3965,4,1,0,547,91,271,2
"149",4411,1,1,0,672,91,301,3
"150",1561,2,1,0,350,92,106,2
"151",1584,2,1,0,506,92,108,1
"152",3222,1,1,1,596,92,220,1
"153",1325,1,1,0,443,93,92,4
"154",2384,3,1,0,433,93,164,1
"155",3964,1,1,0,595,93,271,2
"156",1375,6,1,0,575,94,95,1
"157",2588,1,1,0,459,94,177,1
"158",2845,1,1,0,478,94,194,1
"159",4033,7,2,0,467,94,276,1
"160",147,5,1,0,675,95,10,3
"161",473,2,1,0,555,95,34,2
"162",886,2,1,0,663,95,63,1
"163",3420,1,1,0,327,95,233,2
"164",4663,1,1,0,610,95,319,4
"165",144,2,1,0,390,96,10,1
"166",2995,1,1,0,714,96,204,2
"167",3023,2,2,2,430,96,206,2
"168",3630,1,1,0,613,96,247,2
"169",4100,3,1,0,353,96,281,2
"170",647,2,1,0,633,97,47,2
"171",836,1,1,0,651,97,59,2
"172",1105,1,1,0,818,97,76,4
"173",1170,1,1,0,444,97,81,3
"174",1948,1,1,0,608,97,133,3
"175",2183,4,3,0,435,97,151,1
"176",315,2,1,0,256,98,22,2
"177",782,2,1,0,354,98,55,2
"178",1443,1,2,0,511,98,100,2
"179",1508,2,2,1,467,98,104,1
"180",1957,3,1,0,314,98,133,4
"181",2482,3,1,0,407,98,170,1
"182",2724,3,1,0,577,98,185,2
"183",3383,1,1,0,567,98,230,2
"184",3518,2,1,0,506,98,240,1
"185",3534,1,1,0,576,98,241,3
"186",4104,1,1,0,472,98,281,3
"187",4234,1,1,0,668,98,289,2
"188",3063,1,1,0,382,99,208,2
"189",4204,3,1,1,344,99,287,1
"190",3748,3,1,0,307,100,256,4
"191",3785,1,1,0,786,100,260,1
"192",3858,1,1,0,883,100,264,4
"193",4142,2,1,0,460,100,283,1
"194",4473,5,2,0,584,100,305,1
"195",4682,1,1,0,434,100,320,1
"196",569,1,1,0,381,101,40,2
"197",882,3,1,0,392,101,63,1
"198",1184,2,1,0,410,101,82,1
"199",2195,4,2,0,412,101,152,1
"200",2321,1,1,0,475,101,160,2
"201",2657,1,1,0,339,101,181,1
"202",3477,1,1,0,519,101,237,1
"203",3613,2,1,0,483,101,246,1
"204",3745,1,1,0,446,101,256,2
"205",243,1,1,0,457,102,17,1
"206",1336,2,1,0,408,102,92,1
"207",1996,2,1,0,441,102,136,1
"208",2487,5,1,0,480,102,170,1
"209",2736,2,1,0,441,102,186,1
"210",2891,9,2,1,319,102,197,2
"211",4028,7,1,0,490,102,276,1
"212",4384,2,1,0,466,102,299,1
"213",237,3,1,0,582,103,17,1
"214",551,2,1,0,321,103,39,2
"215",867,1,1,0,409,103,61,3
"216",1791,1,1,0,553,103,121,2
"217",2045,1,1,0,715,103,140,2
"218",3426,3,1,0,535,103,234,3
"219",4640,4,1,0,394,103,317,1
"220",2325,4,1,0,533,104,160,3
"221",2539,3,1,0,291,104,174,1
"222",2789,1,1,0,682,104,190,2
"223",3220,1,1,0,426,104,220,2
"224",1210,4,1,0,398,105,83,1
"225",1296,1,1,0,633,105,89,2
"226",1576,2,1,0,460,105,107,1
"227",2283,1,1,0,611,105,158,2
"228",3391,1,1,0,371,105,231,4
"229",3687,1,1,0,621,105,251,1
"230",4397,5,1,0,552,105,300,1
"231",143,2,1,0,378,106,10,2
"232",1850,1,1,0,835,106,126,2
"233",2635,5,2,2,426,106,180,1
"234",2943,2,1,0,419,106,201,2
"235",3595,1,1,0,460,106,245,1
"236",467,1,1,0,597,107,33,2
"237",588,4,1,0,345,107,42,1
"238",1945,2,1,0,491,107,133,1
"239",2591,2,2,0,467,107,177,2
"240",3175,4,1,0,404,107,217,1
"241",3581,3,1,0,443,107,244,1
"242",1093,2,1,0,514,108,76,3
"243",2132,2,1,0,473,108,148,2
"244",2604,1,1,0,605,108,178,2
"245",3819,1,1,0,377,108,262,2
"246",4095,2,1,0,428,108,280,1
"247",4176,1,1,0,595,108,286,3
"248",4644,2,1,0,285,108,317,4
"249",630,1,1,0,420,109,45,2
"250",2793,2,1,0,671,109,190,2
"251",2897,3,1,0,381,109,198,4
"252",3212,2,1,0,515,109,220,1
"253",4075,2,1,0,574,109,279,2
"254",10,6,1,0,452,110,1,1
"255",372,1,1,0,602,110,26,2
"256",1445,5,1,0,498,110,100,1
"257",1586,5,1,0,487,110,108,1
"258",2192,3,1,0,388,110,152,1
"259",2759,2,1,0,324,110,188,4
"260",2799,3,1,0,464,110,191,2
"261",4185,2,1,0,1706,110,286,1
"262",4203,1,1,0,551,110,287,2
"263",1557,1,1,0,583,111,106,2
"264",1816,6,2,1,508,111,123,1
"265",1953,2,1,0,455,111,133,1
"266",2798,1,1,1,275,111,191,2
"267",3622,5,1,0,367,111,247,1
"268",4519,2,1,0,676,111,308,3
"269",545,1,1,0,416,112,39,1
"270",802,2,1,0,388,112,56,1
"271",1512,3,1,0,335,112,104,4
"272",1675,3,1,0,471,112,114,1
"273",2324,1,1,0,442,112,160,3
"274",2632,2,2,1,479,112,180,1
"275",2648,2,1,0,708,112,181,4
"276",3718,2,1,0,641,112,254,2
"277",3765,1,1,0,686,112,257,2
"278",484,1,1,0,380,113,35,3
"279",2220,2,1,0,340,113,154,4
"280",2436,5,1,0,473,113,167,1
"281",3370,1,1,0,377,113,229,2
"282",3565,3,1,0,647,113,243,2
"283",3721,2,1,0,487,113,254,1
"284",4526,3,1,0,385,113,309,1
"285",4587,3,2,0,453,113,313,1
"286",4614,2,2,1,305,113,315,2
"287",4636,2,2,3,376,113,317,1
"288",42,5,2,0,549,114,3,1
"289",433,2,1,0,437,114,31,1
"290",457,1,1,0,619,114,33,2
"291",745,4,2,1,362,114,53,1
"292",1950,6,1,0,442,114,133,1
"293",2392,5,1,0,465,114,165,1
"294",2532,1,2,0,512,114,173,1
"295",2731,1,1,0,422,114,186,1
"296",3333,4,1,0,426,114,227,1
"297",4320,1,1,0,350,114,294,2
"298",36,2,1,0,605,115,2,2
"299",56,1,1,0,677,115,4,2
"300",819,2,1,0,433,115,58,1
"301",1187,2,1,0,420,115,82,1
"302",1538,1,1,0,350,115,105,3
"303",1686,2,1,1,512,115,115,2
"304",2549,2,1,0,389,115,175,3
"305",2833,2,1,0,789,115,193,3
"306",3088,1,1,0,400,115,210,2
"307",3400,1,1,0,378,115,232,2
"308",4198,4,1,0,326,115,287,1
"309",173,1,1,0,639,116,12,2
"310",623,4,1,0,407,116,45,1
"311",714,2,1,0,390,116,51,2
"312",1997,3,1,0,487,116,136,2
"313",3582,3,1,0,342,116,244,2
"314",4464,6,1,0,473,116,304,1
"315",4575,3,1,0,341,116,312,4
"316",4579,3,1,0,253,116,313,3
"317",4674,1,1,0,436,116,319,2
"318",353,1,1,0,402,117,25,1
"319",601,3,1,0,842,117,43,3
"320",1014,1,2,0,398,117,71,3
"321",2356,4,1,0,392,117,163,2
"322",3050,2,1,0,411,117,207,2
"323",3124,5,1,0,446,117,213,1
"324",1358,1,1,0,477,118,94,1
"325",1553,4,1,0,430,118,106,1
"326",2383,2,1,0,405,118,164,2
"327",2435,6,1,0,884,118,167,1
"328",2509,6,1,0,895,118,172,4
"329",2884,1,1,0,496,118,197,2
"330",3215,2,1,0,356,118,220,4
"331",3469,3,2,0,427,118,237,1
"332",3604,1,1,0,448,118,245,3
"333",4069,2,1,0,911,118,279,2
"334",4230,1,1,0,409,118,289,2
"335",4584,9,1,0,353,118,313,4
"336",4610,1,1,0,749,118,315,2
"337",37,2,1,0,441,119,3,1
"338",769,1,1,1,547,119,54,2
"339",957,2,2,3,325,119,67,1
"340",998,1,2,0,516,119,70,1
"341",1355,1,1,0,479,119,94,1
"342",2154,4,1,0,334,119,149,1
"343",2695,1,1,0,548,119,184,2
"344",2928,1,1,0,607,119,200,2
"345",3136,1,1,0,459,119,214,2
"346",4060,1,1,0,515,119,278,2
"347",4206,2,1,0,624,119,288,2
"348",4501,2,1,0,380,119,306,2
"349",649,2,1,0,838,120,47,3
"350",1222,5,1,2,417,120,84,1
"351",1560,2,1,0,345,120,106,2
"352",1564,1,1,0,375,120,106,2
"353",2528,3,1,0,516,120,173,3
"354",2990,5,1,0,519,120,204,1
"355",3221,4,1,0,443,120,220,1
"356",3311,2,2,0,440,120,226,1
"357",3842,2,1,0,573,120,263,3
"358",4133,1,1,0,822,120,283,2
"359",4229,2,1,1,507,120,289,2
"360",4332,2,1,1,319,120,295,2
"361",313,2,1,0,329,121,22,3
"362",321,2,1,0,593,121,22,2
"363",376,2,1,0,470,121,27,1
"364",1428,2,1,0,888,121,99,3
"365",2579,1,1,0,408,121,176,2
"366",2640,2,1,0,342,121,180,4
"367",2738,1,2,0,408,121,186,2
"368",3092,2,1,0,560,121,211,2
"369",3099,4,1,0,394,121,211,1
"370",3462,1,1,0,520,121,236,2
"371",4327,2,1,0,341,121,295,3
"372",135,1,1,0,316,122,9,2
"373",1372,1,1,0,391,122,95,2
"374",3606,4,1,0,369,122,246,1
"375",3786,1,1,0,339,122,260,2
"376",4516,1,1,0,397,122,308,2
"377",215,2,1,0,452,123,15,1
"378",381,1,1,0,683,123,27,2
"379",1060,3,1,0,369,123,74,3
"380",1147,3,1,0,330,123,79,3
"381",2546,2,1,0,374,123,174,2
"382",2848,3,2,0,495,123,194,1
"383",3009,2,1,0,331,123,205,2
"384",3560,2,1,0,638,123,243,2
"385",4072,2,1,0,432,123,279,1
"386",4181,2,1,0,377,123,286,3
"387",1582,4,1,0,494,124,108,4
"388",1780,1,1,0,375,124,121,3
"389",3109,2,1,0,451,124,212,2
"390",3179,2,1,0,590,124,217,1
"391",3357,1,1,0,547,124,229,1
"392",679,1,1,0,366,125,48,3
"393",2468,2,1,0,454,125,169,1
"394",2677,6,1,0,692,125,183,2
"395",2882,1,1,0,625,125,197,3
"396",3953,4,1,0,422,125,271,1
"397",4006,2,1,0,345,125,274,2
"398",1651,1,1,0,527,126,112,2
"399",1727,3,1,0,301,126,117,2
"400",1756,2,1,0,443,126,119,1
"401",2205,1,1,0,397,126,153,2
"402",2705,1,1,0,415,126,184,2
"403",3303,2,2,0,544,126,226,1
"404",3612,2,1,0,360,126,246,2
"405",3927,1,1,0,374,126,269,2
"406",220,5,1,0,457,127,16,1
"407",1138,1,1,0,766,127,78,2
"408",1161,5,1,0,582,127,80,1
"409",1308,3,1,0,337,127,91,2
"410",2408,2,2,0,420,127,166,2
"411",3451,6,1,0,644,127,235,4
"412",3860,1,1,0,409,127,264,2
"413",358,1,1,0,397,128,25,2
"414",792,3,1,0,406,128,56,1
"415",1353,1,1,0,374,128,94,2
"416",1494,5,1,0,383,128,103,4
"417",1734,1,2,0,496,128,118,2
"418",2550,2,1,0,415,128,175,2
"419",4364,1,1,1,316,128,298,2
"420",187,3,1,0,353,129,12,3
"421",371,1,1,0,351,129,26,2
"422",945,1,1,0,403,129,66,2
"423",1354,2,2,0,490,129,94,2
"424",1421,1,1,0,401,129,98,2
"425",1446,3,1,0,402,129,100,1
"426",2086,2,1,1,512,129,144,2
"427",3795,1,2,1,396,129,260,2
"428",4370,2,1,0,473,129,298,1
"429",4483,2,1,0,443,129,305,2
"430",483,1,2,4,486,130,34,2
"431",1269,7,2,0,543,130,88,1
"432",1469,1,1,0,441,130,101,2
"433",2910,3,1,0,343,130,198,3
"434",3039,2,1,0,405,130,207,2
"435",3845,2,1,0,354,130,263,3
"436",4247,2,1,0,437,130,290,2
"437",4457,2,1,0,787,130,303,3
"438",4543,2,1,0,430,130,310,1
"439",4654,3,1,0,318,130,317,1
"440",183,1,1,0,406,131,12,3
"441",817,1,1,0,479,131,58,1
"442",880,2,1,0,401,131,63,1
"443",1619,2,1,1,512,131,110,4
"444",2301,2,1,0,409,131,159,2
"445",2447,1,1,0,323,131,168,1
"446",2809,1,1,0,389,131,191,1
"447",3269,2,1,0,376,131,224,1
"448",3366,1,1,0,371,131,229,2
"449",4518,1,1,0,650,131,308,2
"450",217,2,1,0,490,132,15,4
"451",549,1,1,0,292,132,39,2
"452",1615,4,1,0,462,132,110,1
"453",1754,2,2,0,612,132,119,2
"454",1920,1,1,0,414,132,131,2
"455",1962,1,1,0,508,132,134,2
"456",2911,4,1,0,360,132,198,1
"457",3700,3,1,0,381,132,253,1
"458",3853,1,1,0,659,132,264,2
"459",4139,1,1,0,454,132,283,2
"460",4269,4,1,0,401,132,292,1
"461",1024,9,1,2,531,133,71,2
"462",3380,1,1,0,463,133,230,1
"463",3990,1,1,0,678,133,273,2
"464",4132,2,1,0,499,133,283,2
"465",251,4,1,0,355,134,18,1
"466",259,1,1,0,373,134,18,2
"467",374,1,1,0,492,134,26,2
"468",472,2,1,0,434,134,34,2
"469",1023,2,1,0,372,134,71,2
"470",1076,4,1,0,437,134,74,1
"471",1667,1,1,0,429,134,113,1
"472",2184,1,1,0,404,134,151,2
"473",3073,4,1,0,365,134,209,1
"474",4344,3,1,1,286,134,296,1
"475",4613,3,1,0,359,134,315,2
"476",4616,2,1,0,380,134,315,2
"477",240,1,1,0,405,135,17,2
"478",405,1,1,0,393,135,29,2
"479",1227,2,1,0,688,135,85,2
"480",1644,1,1,0,789,135,112,2
"481",2303,1,1,0,418,135,159,2
"482",2484,1,1,0,554,135,170,2
"483",2804,2,1,0,509,135,191,1
"484",2890,1,1,0,817,135,197,4
"485",3249,4,1,0,383,135,222,1
"486",4138,1,2,0,444,135,283,2
"487",4560,2,1,0,421,135,311,1
"488",4620,1,1,0,396,135,315,2
"489",1019,2,1,0,550,136,71,1
"490",1188,3,1,0,364,136,82,2
"491",1438,1,1,0,412,136,100,1
"492",2771,2,1,0,388,136,188,1
"493",3045,2,2,0,548,136,207,1
"494",175,1,1,0,457,137,12,3
"495",543,1,1,0,428,137,38,2
"496",690,1,1,0,415,137,49,2
"497",1202,4,1,0,407,137,83,1
"498",1229,2,1,0,530,137,85,2
"499",1650,1,1,0,415,137,112,2
"500",2498,1,1,0,321,137,171,2
"501",3935,1,1,0,442,137,269,3
"502",4649,1,1,0,405,137,317,2
"503",301,1,1,0,401,138,21,1
"504",869,4,1,0,421,138,62,1
"505",2228,2,1,0,427,138,155,2
"506",2518,1,1,0,356,138,172,2
"507",3111,2,2,0,551,138,212,1
"508",3146,2,1,0,383,138,215,2
"509",4374,2,1,0,452,138,298,2
"510",4656,1,1,0,406,138,318,2
"511",33,1,1,0,436,139,2,2
"512",185,1,1,0,317,139,12,3
"513",566,2,1,0,518,139,40,1
"514",839,1,1,0,431,139,59,1
"515",885,1,2,0,549,139,63,1
"516",1496,2,1,0,374,139,103,3
"517",1676,3,1,0,347,139,114,4
"518",1736,2,1,0,383,139,118,1
"519",1932,1,1,0,583,139,132,2
"520",2106,3,1,0,423,139,145,1
"521",2716,6,2,0,407,139,185,1
"522",3185,2,1,0,389,139,217,2
"523",3202,1,1,0,697,139,219,2
"524",3217,4,1,0,339,139,220,1
"525",3294,4,2,1,279,139,225,2
"526",3986,2,1,0,341,139,273,2
"527",369,1,1,0,484,140,26,2
"528",1814,4,1,0,419,140,123,1
"529",2777,1,1,0,388,140,189,3
"530",3214,1,1,0,493,140,220,1
"531",3226,1,1,0,447,140,220,2
"532",3242,4,2,1,390,140,222,2
"533",3458,1,1,0,603,140,236,2
"534",3495,2,1,0,421,140,238,1
"535",3656,2,2,0,403,140,249,3
"536",3802,5,2,0,550,140,261,1
"537",4531,3,2,0,395,140,309,1
"538",1394,2,1,0,344,141,96,3
"539",1785,1,1,0,468,141,121,1
"540",1968,9,1,0,363,141,134,2
"541",2379,1,1,0,555,141,164,1
"542",2994,1,1,0,301,141,204,2
"543",3113,1,1,0,631,141,212,2
"544",4665,1,1,0,432,141,319,2
"545",607,3,1,0,346,142,43,1
"546",783,1,1,1,344,142,55,2
"547",1127,1,1,0,406,142,78,2
"548",1255,2,1,0,613,142,87,2
"549",1376,1,1,0,342,142,95,2
"550",2544,2,1,0,420,142,174,1
"551",2824,1,1,0,338,142,193,2
"552",2829,3,1,0,389,142,193,2
"553",3183,6,3,0,777,142,217,1
"554",3796,1,1,0,522,142,260,2
"555",4112,2,1,0,399,142,281,4
"556",4202,3,1,0,383,142,287,1
"557",4235,3,1,0,386,142,289,2
"558",4443,3,1,0,305,142,303,2
"559",47,2,1,0,456,143,3,1
"560",336,2,1,0,319,143,24,4
"561",1680,1,1,0,447,143,114,2
"562",3948,2,1,0,382,143,271,2
"563",4045,2,1,0,358,143,277,2
"564",4430,1,1,1,335,143,302,2
"565",4678,1,1,0,369,143,319,2
"566",342,2,1,0,470,144,24,1
"567",1465,1,2,0,516,144,101,1
"568",2846,2,2,1,358,144,194,4
"569",2988,1,1,0,409,144,203,4
"570",3342,4,1,1,273,144,228,3
"571",3416,1,2,0,426,144,233,2
"572",3911,2,1,0,424,144,268,2
"573",4011,2,1,0,464,144,274,1
"574",4301,2,1,0,408,144,294,1
"575",414,1,1,0,365,145,30,2
"576",688,1,1,1,284,145,49,3
"577",1130,4,1,0,375,145,78,1
"578",1304,1,1,0,299,145,90,2
"579",1523,1,1,0,644,145,104,2
"580",1572,1,1,0,431,145,107,1
"581",1654,1,1,0,698,145,112,2
"582",3086,9,1,0,542,145,210,4
"583",3319,1,1,0,303,145,227,2
"584",3494,1,1,0,438,145,238,2
"585",3602,4,1,0,283,145,245,4
"586",3726,3,3,0,493,145,254,1
"587",4106,3,1,0,327,145,281,2
"588",4354,3,1,0,408,145,297,1
"589",4403,1,1,0,382,145,300,2
"590",4690,1,1,1,460,145,320,1
"591",127,1,1,0,539,146,9,2
"592",843,1,1,0,394,146,60,2
"593",1005,1,1,0,615,146,70,2
"594",1186,1,1,0,404,146,82,2
"595",3252,3,1,0,398,146,222,1
"596",4323,1,1,0,424,146,295,2
"597",4486,4,2,0,451,146,305,1
"598",530,1,1,0,342,147,38,2
"599",1294,1,1,0,407,147,89,2
"600",1569,5,1,0,737,147,107,1
"601",2181,2,1,1,279,147,151,2
"602",2317,1,1,0,401,147,160,3
"603",2684,1,2,0,473,147,183,1
"604",2963,4,1,0,394,147,202,2
"605",3325,1,1,0,801,147,227,2
"606",3476,3,1,0,513,147,237,3
"607",3563,3,1,0,385,147,243,2
"608",3631,1,1,0,498,147,247,1
"609",3637,1,1,0,396,147,247,3
"610",3661,1,1,0,422,147,249,2
"611",3676,2,1,0,668,147,251,1
"612",3685,1,1,0,426,147,251,2
"613",4319,2,2,0,399,147,294,1
"614",196,1,1,0,381,148,14,2
"615",1751,2,1,0,372,148,119,2
"616",2137,1,2,0,562,148,148,2
"617",2599,1,1,0,428,148,177,2
"618",2993,2,1,0,437,148,204,2
"619",3317,1,1,0,449,148,227,2
"620",464,3,1,0,327,149,33,2
"621",995,1,1,0,430,149,70,4
"622",1029,1,1,0,392,149,72,2
"623",1600,2,1,0,392,149,109,2
"624",3208,1,1,0,429,149,219,2
"625",4428,2,1,1,534,149,302,2
"626",4686,1,1,0,353,149,320,2
"627",616,4,1,0,442,150,44,1
"628",826,2,1,0,716,150,58,1
"629",1086,4,1,0,378,150,75,1
"630",1534,1,2,0,580,150,105,3
"631",1729,1,1,0,427,150,117,1
"632",1762,2,1,0,380,150,119,2
"633",1828,1,1,0,451,150,124,1
"634",1864,2,1,0,666,150,127,1
"635",2671,5,1,0,445,150,182,1
"636",2788,2,2,0,381,150,190,2
"637",2907,4,1,0,340,150,198,2
"638",3004,3,1,0,343,150,205,1
"639",3026,2,3,0,694,150,206,1
"640",3651,2,2,0,264,150,249,1
"641",4158,2,1,0,434,150,285,1
"642",4438,2,1,0,400,150,302,1
"643",347,1,1,0,423,151,25,2
"644",412,1,2,0,495,151,30,1
"645",611,3,1,0,263,151,44,3
"646",881,2,1,0,425,151,63,2
"647",1286,1,1,0,422,151,89,2
"648",2299,1,1,0,462,151,159,2
"649",2919,6,2,0,562,151,199,1
"650",3341,3,1,0,334,151,228,2
"651",3499,2,1,0,377,151,238,3
"652",480,2,1,0,321,152,34,2
"653",722,3,1,1,453,152,51,2
"654",1107,4,1,0,355,152,76,1
"655",1163,3,1,0,439,152,81,3
"656",1826,3,1,0,374,152,124,1
"657",3071,1,1,0,425,152,209,2
"658",3402,2,1,0,642,152,232,2
"659",3827,1,1,1,299,152,262,2
"660",4278,1,1,0,456,152,292,2
"661",4482,2,1,0,442,152,305,2
"662",533,4,1,0,351,153,38,1
"663",891,2,1,0,451,153,63,1
"664",948,1,1,0,374,153,66,2
"665",1183,2,1,1,272,153,82,2
"666",1343,3,1,0,315,153,93,3
"667",1879,5,1,0,488,153,128,1
"668",2274,6,1,0,413,153,158,1
"669",2633,4,2,0,486,153,180,2
"670",349,1,1,0,469,154,25,2
"671",840,3,2,0,384,154,59,1
"672",1082,1,2,1,333,154,75,2
"673",1757,2,1,0,404,154,119,2
"674",2019,5,2,0,605,154,138,1
"675",2318,1,1,0,556,154,160,1
"676",3324,1,1,0,427,154,227,1
"677",3484,3,2,0,456,154,238,1
"678",4149,2,1,0,412,154,284,2
"679",4233,1,1,0,361,154,289,2
"680",4631,2,1,0,394,154,316,3
"681",138,1,1,0,378,155,10,2
"682",340,3,1,0,835,155,24,2
"683",719,3,2,0,403,155,51,2
"684",966,2,1,1,435,155,68,2
"685",1249,3,1,0,543,155,86,1
"686",1952,2,1,2,495,155,133,1
"687",2369,2,1,0,422,155,163,3
"688",2616,3,1,1,309,155,179,2
"689",2885,1,1,0,400,155,197,2
"690",3266,1,1,0,293,155,223,3
"691",3461,3,1,0,499,155,236,2
"692",3652,1,1,0,354,155,249,2
"693",4016,2,1,1,433,155,275,3
"694",4695,1,1,0,392,155,320,2
"695",337,2,1,0,397,156,24,2
"696",834,5,2,0,454,156,59,1
"697",851,2,2,0,328,156,60,1
"698",1410,1,2,0,497,156,97,2
"699",2732,1,1,0,436,156,186,2
"700",2808,2,1,1,436,156,191,3
"701",3069,2,2,0,481,156,209,2
"702",3134,1,1,0,400,156,214,2
